New_Group	Group	Order	Taxa	NDVI_37DAP_2017	NDVI_44DAP_2017	NDVI_60DAP_2017	NDVI_73DAP_2017	NDVI_115DAP_2017	FT_2017	PH_2017	EH_2017
stiff stalk	stiff stalk	1	B73	120.6226667	126.2682222	128.5831111	129.3062222	130.0008889	76.33333333	156.4666667	80.15555556
non-stiff stalk	non-stiff stalk	2	PI601496	121.32	129.33	132.23	131.33	136.29	73	147	71
unclassified	unclassified	3	AMES23427	117.82	125.89	128.56	127.99	121.79	71	130	86
unclassified	unclassified	4	PI542955	116.37	125.87	127.77	130.51	138.58	83	176	106
unclassified	unclassified	5	PI594076	111.36	122.82	127.16	132.12	124.19	81	169	76
unclassified	unclassified	6	PI550552	115.43	122.23	127.05	128.09	117.25	74	145	74
unclassified	unclassified	7	NSL437940	113.96	123.68	126.07	129.48	127.41	86	132	70
popcorn	popcorn	8	PI340855	114.01	120.76	124.85	128.23	129.91	78	129	82
unclassified	unclassified	9	AMES22765	114.44	121.15	127.63	129.4	132.6	92	158	67
unclassified	unclassified	10	NSL437993	120.11	125.57	129.62	131.07	134.57	83	147	69
popcorn	unclassified	11	PI340867	116.96	125.46	128.42	127.17	130.42	70	115	62
unclassified	unclassified	12	AMES12821	117.03	123.4	127.18	129.76	132.13	86	121	76
unclassified	unclassified	13	NSL22628	112.08	121.88	124.91	128.42	129.61	87	135	63
unclassified	unclassified	14	AMES23433	116.21	122.47	126.15	127.44	119.21	68	142	62
stiff stalk	stiff stalk	15	PI601583	120.89	128.1	131.62	129.32	132.93	71	122	66
unclassified	unclassified	16	AMES23483	116.21	123.01	128.14	127.55	124.04	71	128	44
unclassified	unclassified	17	AMES14112	111.94	121.18	124.99	128.02	134.28	83	121	61
unclassified	unclassified	18	PI186227	109.9	121.26	128.31	129.3	133.03	81	131	53
stiff stalk	stiff stalk	19	AMES26743	117.3	127.17	130.67	132	134.93	83	169	102
unclassified	unclassified	20	NSL30904	116.08	122.14	126.16	127.97	111.68	80	152	85
unclassified	unclassified	21	PI558527	116.71	125.68	128.34	129.75	132.84	89	128	68
unclassified	unclassified	22	PI560082	113.5	120.03	124.42	128.37	130.59	80	128	51
unclassified	unclassified	23	AMES28937	115.23	123.97	122.94	126.95	133.15	83	128	70
non-stiff stalk	non-stiff stalk	24	AMES26757	119.68	128.03	127.95	129.28	126.51	78	159	68
sweet corn	sweet corn	25	AMES22062	117.47	125.61	131.11	127.73	125.7	70	134	51
popcorn	popcorn	26	AMES24577	119.2	125.32	129.31	129.98	128.17	79	142	73
non-stiff stalk	non-stiff stalk	27	PI520774	115.32	124.14	127.63	131.37	134.63	86	140	65
unclassified	unclassified	28	PI186221	114.04	122.77	129.76	131.45	139.43	81	142	88
unclassified	unclassified	29	NSL437928	116.59	123.44	129.27	129.06	133.07	86	120	71
unclassified	unclassified	30	AMES23425	116.07	124.61	129.78	126.91	116.82	67	114	52
unclassified	unclassified	31	AMES28946	112.5	123.98	129.38	131.65	127.72	84	171	110
unclassified	unclassified	32	PI593011	99.96	118.24	120.22	122.94	129.16	89	131	62
unclassified	unclassified	33	AMES28939	113.96	122.63	126.96	128.18	128.98	90	151	59
unclassified	unclassified	34	PI601080	115.27	122.29	125.66	125.66	123.86	72	115	40
unclassified	unclassified	35	NSL29317	115.11	124.83	130.58	132.33	129.03	83	132	65
popcorn	popcorn	36	AMES28987	119.24	123.83	127.36	128.94	127.25	76	151	81
unclassified	unclassified	37	NSL437905	119.35	125.85	129.41	130.33	132.84	83	196	101
unclassified	unclassified	38	AMES27146	111.53	121.9	127.33	130.69	135.1	94	152	71
unclassified	unclassified	39	NSL30891	116.22	123.07	128.76	128.81	126.92	75	145	71
sweet corn	sweet corn	40	AMES22013	114.73	123.03	126.12	124.38	126.12	67	86	23
unclassified	unclassified	41	PI601404	112.98	122.82	126.22	128.45	131.82	83	152	51
non-stiff stalk	non-stiff stalk	42	AMES28938	114.8	121.95	125.06	126.34	124.67	80	140	80
non-stiff stalk	non-stiff stalk	43	PI601457	114.13	122.75	123.51	124.31	128.24	66	152	59
unclassified	unclassified	44	PI601331	117.43	123.02	126.43	128.21	126.78	87	148	76
non-stiff stalk	non-stiff stalk	45	PI594045	115.73	125	128.25	129.08	132.46	76	102	53
unclassified	unclassified	46	PI535923	118.47	125.92	130.72	130.99	131.04	73	130	62
unclassified	unclassified	47	PI593460	115.47	123.27	129.18	131.2	126.8	71	116	45
stiff stalk	stiff stalk	48	PI538009	117.3	126.77	128.4	127.27	129.43	74	128	47
unclassified	unclassified	49	PI303927	119.48	125.5	127.42	128.83	122.83	76	141	83
sweet corn	sweet corn	50	AMES23508	109.69	120.58	124.23	123.82	121.12	64	93	11
unclassified	unclassified	51	PI594068	116.36	124.01	129.04	127.24	128.32	85	144	57
unclassified	unclassified	52	PI427109	110.63	120.56	123.23	127.22	136.6	81	137	75
stiff stalk	stiff stalk	53	PI550467	121.86	127.23	131.19	134.1	135.52	76	185	88
unclassified	unclassified	54	PI406108	106.96	118.09	123.94	127.41	135.4	83	169	85
unclassified	unclassified	55	PI601724	117.28	121.55	129.29	132.17	135.15	76	132	52
unclassified	unclassified	56	AMES28932	115.3	124.6	129.24	131.78	135.97	85	150	78
stiff stalk	stiff stalk	57	AMES23470	116.5	125.79	131.4	131.03	130.77	74	147	67
unclassified	unclassified	58	PI559935	117.88	125.76	128.76	128.02	132.47	76	154	71
unclassified	unclassified	59	PI559380	119.47	126.2	129.25	130.02	133.94	70	138	52
stiff stalk	stiff stalk	60	PI547088	117.5	124.52	128.81	131.66	133.12	79	152	54
unclassified	unclassified	61	AMES23421	117.73	126.05	128.72	129.3	131.65	71	142	57
unclassified	unclassified	62	NSL32721	112.68	120.91	123.04	121.07	120.21	65	100	35
tropical	tropical	63	AMES30857	116.72	126.04	129.92	132.89	135.23	94	139	86
unclassified	unclassified	64	PI607521	116.19	122.29	125.86	125.49	121.49	68	117	60
sweet corn	sweet corn	65	AMES22067	115.2	122.17	125.92	124.48	127.75	61	67	11
unclassified	unclassified	66	PI543843	116.63	123.16	128.97	133.01	140.47	82	158	75
popcorn	popcorn	67	AMES28975	115.69	123.75	127.92	128.41	129.41	72	128	81
unclassified	unclassified	68	PI539925	120.22	125.4	129.45	131.57	134.72	76	120	49
unclassified	unclassified	69	AMES28935	114.81	124.04	126.51	127.89	131.21	90	138	69
unclassified	unclassified	70	PI340824	114.68	122.26	124.7	124.78	119.96	66	110	33
unclassified	unclassified	71	AMES23450	118.05	126.26	131.14	131.94	129.65	71	135	39
unclassified	unclassified	72	NSL67786	108.75	120.66	127	125.01	130.26	86	177	74
unclassified	unclassified	73	PI550561	119.58	125.43	127.51	128.18	119.59	67	87	31
stiff stalk	stiff stalk	74	AMES22756	113.53	121.74	129.78	130.2	132.35	77	135	75
stiff stalk	stiff stalk	75	PI607525	115.19	122.55	121	124.71	126.91	71	102	48
unclassified	unclassified	76	NSL67790	112.13	122.24	126.1	127.19	129.85	92	171	96
non-stiff stalk	non-stiff stalk	77	PI601786	116.76	124.77	128.33	132.33	129.62	78	165	82
unclassified	unclassified	78	PI303939	111.88	121.48	124.36	128.11	122.8	75	153	95
unclassified	unclassified	79	AMES22439	113.66	123.14	129.57	129.74	124.93	73	116	52
unclassified	unclassified	80	AMES27141	118.21	126.56	129.6	133.6	138.02	80	141	51
unclassified	unclassified	81	AMES23496	115.93	124.17	126.53	127.84	125.5	73	131	60
non-stiff stalk	non-stiff stalk	82	AMES26776	117.28	124.33	128.43	131.77	130.58	82	193	110
unclassified	unclassified	83	AMES24589	113.56	122.37	127.71	132.1	126.03	91	161	83
sweet corn	non-stiff stalk	84	AMES26765	110.74	120.39	125.53	128.37	131.06	80	112	60
sweet corn	sweet corn	85	AMES22021	114.69	121.96	125.53	122.27	126.04	67	89	26
sweet corn	unclassified	86	PI587133	122.7	126.7	132.46	129.71	123.02	71	143	53
unclassified	unclassified	87	PI559952	115.36	122.85	127.01	129.45	129.86	89	168	82
unclassified	unclassified	88	PI415082	115.88	122.44	125.95	126.35	123.91	70	127	58
unclassified	unclassified	89	AMES27029	118.23	125.45	125.62	124.28	122.21	56	92	31
unclassified	unclassified	90	AMES27182	121.34	126.52	128.75	131.71	132.97	79	164	81
unclassified	unclassified	91	NSL30910	113.84	124.5	127.58	131.68	131.47	76	73	11
non-stiff stalk	non-stiff stalk	92	PI601499	119.88	126.45	129.24	128.73	133.4	73	126	52
unclassified	unclassified	93	AMES23477	114.42	121.84	127.56	127.48	127.82	69	124	57
stiff stalk	stiff stalk	94	PI600772	116.3	123.96	130.54	130.59	127.43	71	161	62
popcorn	unclassified	95	AMES29028	114.99	121.49	127.98	131.19	131.63	83	175	115
stiff stalk	stiff stalk	96	AMES23504	123.95	126.28	129.27	128.82	126.74	71	151	60
stiff stalk	stiff stalk	97	PI644101	116.92	126.95	129.19	134.48	142.14	78	100	46
sweet corn	sweet corn	98	AMES22044	118.04	122.7	124.38	122.95	124.55	66	116	28
unclassified	unclassified	99	AMES18999	114.39	124.69	130.29	132.09	135.89	95	143	60
unclassified	unclassified	100	AMES20118	119.13	126.43	128.02	129.79	133.02	82	165	83
stiff stalk	stiff stalk	101	AMES26756	112.73	122.35	128.41	128.25	129.31	77	146	57
unclassified	unclassified	102	AMES27112	116.2	123.95	127.07	129.27	135.69	84	134	54
unclassified	unclassified	103	NSL42873	112.24	119.55	124.6	125.37	121.05	71	112	30
unclassified	unclassified	104	PI200181	115.19	123.63	127.23	128.92	131.54	76	147	75
non-stiff stalk	non-stiff stalk	105	PI601792	118.4	124.92	128.02	132.43	129.85	74	147	44
unclassified	unclassified	106	AMES23393	114.59	122.81	126.29	125.46	119.5	68	123	32
unclassified	unclassified	107	AMES24705	112.93	121.04	124.15	128.09	127.98	83	137	78
unclassified	unclassified	108	NSL438008	111.16	122.25	127.17	127.58	131	90	82	35
unclassified	unclassified	109	AMES27122	116.08	126.03	128.03	130.43	135.1	84	161	57
unclassified	unclassified	110	AMES24706	116.82	124.02	126.89	127.37	116.18	70	94	38
unclassified	unclassified	111	PI369438	113.35	123.21	128.21	127.39	127.38	69	105	46
non-stiff stalk	non-stiff stalk	112	AMES20137	115.63	124.2	126.8	127.17	129.51	88	187	72
unclassified	unclassified	113	PI459078	110.71	119.74	125.31	128.15	126.75	91	169	103
non-stiff stalk	non-stiff stalk	114	PI601318	113.33	123.12	129.97	130.85	132.33	71	134	39
unclassified	unclassified	115	NSL437964	112.87	121.83	127.36	129.1	131.23	84	149	63
unclassified	unclassified	116	PI369442	113.17	123.19	126.7	127.78	124.25	68	108	49
non-stiff stalk	non-stiff stalk	117	PI531081	120.7	124.9	128.11	127.82	133.14	74	131	60
unclassified	unclassified	118	CIZE29	115.41	126.2	129.21	131.96	132.56	84	176	104
unclassified	unclassified	119	AMES23389	114.83	120.94	126.58	124.06	126.55	66	90	35
sweet corn	sweet corn	120	AMES22060	108.23	120.26	123.75	123.45	130.4	68	112	52
sweet corn	sweet corn	121	AMES22047	117.08	123.69	126.12	124.75	122.59	67	94	42
non-stiff stalk	non-stiff stalk	122	AMES19318	111.53	121.76	124.89	129.44	126.18	81	91	46
unclassified	unclassified	123	NSL65869	114.38	123.82	128.54	129.37	127.15	86	173	69
non-stiff stalk	non-stiff stalk	124	PI527700	120.74	124.2	128.33	129.92	126.61	77	122	50
stiff stalk	stiff stalk	125	PI648423	117.65	125.57	129.33	131.05	132.83	73	153	74
unclassified	unclassified	126	NSL30888	111.36	121.54	125.97	130.2	125.9	80	172	94
unclassified	unclassified	127	PI601658	117.66	124.57	129.74	129.26	127.69	70	128	49
sweet corn	sweet corn	128	PI358538	118.81	125.5	129.1	128.41	124.87	72	139	61
popcorn	unclassified	129	PI340854	110.66	120.1	126.36	129.67	131.35	84	170	92
non-stiff stalk	non-stiff stalk	130	PI548804	121.18	126.34	132.77	130.09	136.79	76	137	66
unclassified	unclassified	131	PI596499	116.11	123.83	126.13	129.3	123.53	77	181	76
unclassified	unclassified	132	PI535924	116.27	122.75	124.69	123.68	116.17	65	111	50
unclassified	unclassified	133	AMES28934	116.92	124.49	127.6	129.02	129.49	90	146	58
non-stiff stalk	non-stiff stalk	134	PI603939	116.55	124.14	130.34	131.28	134.47	77	165	87
unclassified	unclassified	135	AMES2329	109.57	123.9	126.01	128.07	135.32	83	135	58
unclassified	unclassified	136	NSL174429	117.57	124.23	129.2	130.8	130.49	79	144	53
unclassified	unclassified	137	AMES26777	116.97	123.96	131.72	133.22	134.06	83	173	76
unclassified	unclassified	138	PI596355	113.58	121.81	127.72	130.71	132.72	81	162	79
unclassified	unclassified	139	PI221750	109.3	119.42	126.61	132.21	128.07	76	98	43
unclassified	unclassified	140	NSL30885	115.04	124.63	128.05	130.27	126.91	82	173	101
tropical	tropical	141	PI550901	109.33	119.49	127.06	131.44	139.5	104	178	112
non-stiff stalk	non-stiff stalk	142	AMES20120	117.16	126.4	129.59	130.84	132.17	74	175	71
unclassified	unclassified	143	NSL437973	109.02	120.49	127.53	129.81	133.97	84	160	96
unclassified	unclassified	144	AMES23397	116.34	122.89	127.99	128.31	121.13	69	135	40
unclassified	unclassified	145	NSL81599	119.33	126.9	127.11	130.55	127.68	74	134	60
unclassified	unclassified	146	AMES23431	110.34	120.44	126.21	127.66	117.63	68	116	65
popcorn	popcorn	147	AMES29017	117.39	126.62	131.68	129.03	133.56	74	150	82
unclassified	unclassified	148	AMES26784	118.92	124.96	129.37	128.07	130.11	75	123	69
unclassified	unclassified	149	AMES26124	113.39	123.14	128.42	132.44	136.71	83	155	90
unclassified	unclassified	150	PI594061	117.01	124.27	129.38	130.36	131.97	76	96	38
stiff stalk	stiff stalk	151	PI601745	118.58	124.64	128.73	129.72	133.37	76	181	97
unclassified	unclassified	152	NSL30884	117.08	125.25	129.43	132.13	132.4	79	221	118
unclassified	unclassified	153	AMES26771	115.68	124.56	127.58	130.24	135.26	84	200	103
unclassified	unclassified	154	NSL437903	114.97	122.96	127.53	130.88	131.55	78	124	68
non-stiff stalk	non-stiff stalk	155	AMES26753	114.79	123.13	126.54	126.96	122.99	80	152	79
unclassified	unclassified	156	PI594060	117.75	126.61	129.18	131.54	135.19	83	153	60
unclassified	unclassified	157	PI405709	117.75	125.23	129.9	132.62	137.08	70	85	49
stiff stalk	stiff stalk	158	AMES27451	114.78	124.98	129.36	129.3	130.83	76	142	69
non-stiff stalk	non-stiff stalk	159	AMES27184	114.18	121.67	125.86	126.76	126.57	77	134	61
